CVE_EST,NOM_EST,CVE_MUN,NOM_MUN,GINI,Enf_int_xhab,ind_ingreso,IMN_2020,A_ve_m2,PORC_C_ALIM,PERS_C_ASBV,PORC_POB_IILP,PCDISC_MOT,porc_sin_tratar,Porc_ab_msup,pje_pob_15ymas_edbasinc_2020,pib_estatal,PE_INAC,Pob_des,rsu_sin_rec,sup_sin_total,u_panag,Pje_vivnodinter_2020,tasa_unidades_eco,tot_del_fc,PSINDER,VPH_NODREN,p_sind,personal_seguridad ,ec_co2e,uem50,carretera_km,TOT_INV_CARR,TOT_INV_AGUA,TOT_INV_ESPE,SPDCD_T,t_lamp_lumi_alumb_pub,p_disp_seg,pres_eje_seg_mun,pob_ben_beca,Tiendas liconsa
13,Hidalgo,40,La Misión,0.301931,23.12,0.667,0.784,0.031980419,15.92009062,8.835341366,88.75319189,415,100.00,22.22,55.80,0.01,3800,0.42,"8,783",0,81.75,90.4,60.24,17,1145,387,11.66,15,5437,0,80.26,45178533.1,6639254.892,1418514.812,,1600,18,7 275 167,943.63,23
13,Hidalgo,41,Mixquiahuala de Juárez,0.32816,46.31,0.753,0.908,0.320163915,23.01696332,5.017276263,59.46626427,1180,100.00,26.51,25.40,0.80,13560,4.16,"31,670",0,86.82,61.6,64.95,820,12763,216,27.03,78,61588,0,20.2,37622047.15,2179972.396,24336314.61,4,4200,,35 223 377,"6,125.51",6
13,Hidalgo,42,Molango de Escamilla,0.404073,45.60,0.718,0.856,0.08136528,19.05096291,10.84624195,69.33151487,416,100.00,24.87,34.22,0.06,4007,1.46,"6,894",0,58.33,77.2,45.5,170,1695,102,14.64,23,98651,0,132.49,34197750.09,43474038.22,1324021.78,23,950,110,7 808 502,"1,392.81",11
13,Hidalgo,43,Nicolás Flores,0.323429,28.25,0.657,0.840,0.050122225,24.86424222,8.458120783,81.72022767,282,100.00,21.89,38.99,0.01,2509,0.95,"7,218",0,27.4,76.0,84.13,11,1106,354,17.65,15,6148,0,199.07,30387908.6,17165462.49,0,1,700,5,4 687 177,824.32,4
13,Hidalgo,44,Nopala de Villagrán,0.302975,12.45,0.706,0.847,0.120568621,27.77372748,5.206382571,55.4347995,802,100.00,27.39,38.41,0.05,5339,1.05,"14,838",0.215483773,59.7,84.5,22.17,90,4405,860,25.99,23,32864,1,134.535,73660693.07,5190294.9,0,,2800,,,"1,769.94",21
13,Hidalgo,45,Omitlán de Juárez,0.322725,20.01,0.704,0.867,0.633430272,21.32545932,6.069553806,55.28312259,217,100.00,23.61,34.27,0.03,3054,0.74,"2,154",2.916339107,65.83,78.2,133.33,127,3505,258,37.71,20,7349,0,69.6,27964875.16,25122526.45,12964356.15,1,2286,,6 794 689,"1,708.24",6
13,Hidalgo,46,San Felipe Orizatlán,0.329564,7.48,0.677,0.827,0.150411905,32.00365969,18.40978307,86.00817831,1067,100.00,26.18,50.75,0.14,12929,1.58,"31,190",0,60.52,88.6,70.14,190,8939,915,23.22,48,"49,386",0,109.22,119209151,595464.6618,2233440.03,,3670,154,28 800 387,"5,440.32",41
13,Hidalgo,47,Pacula,0.304406,32.01,0.685,0.785,0.409668393,10.49236723,8.449795743,74.68312906,270,100.00,30.43,52.68,0.00,2259,0.44,"4,198",0,76.35,69.2,75.56,16,1364,247,28.73,16,14647,0,93.5,22079151.79,26094465.62,0,,862,32,3 517 924,568.58,8
13,Hidalgo,48,Pachuca de Soto,0.330699,30.15,0.797,0.938,1.001669602,17.07223444,3.697225468,38.19295791,6857,96.85,22.72,17.05,18.54,94224,30.96,"160,716",0.728656293,56.39,32.9,33.7,14803,99443,243,31.64,679,629844,13,181.46,1655451191,1133729505,4197600477,85,37569,4528,175 059 783,"33,530.97",0
13,Hidalgo,49,Pisaflores,0.334559,23.45,0.673,0.824,0.240743957,28.76138749,12.90809907,78.84253934,509,100.00,21.38,43.84,0.04,5938,0.39,"13,468",0,74.55,88.1,124.61,76,3091,461,16.51,18,8399,0,8.4,24235578.15,289641.6103,5909699.312,1,684,28,13 872 385,"2,677.16",24
13,Hidalgo,50,Progreso de Obregón,0.311,3.55,0.768,0.915,0.384226964,19.35301928,5.234372028,49.02130908,563,100.00,25.58,24.58,0.77,7413,2.15,"7,153",0.134909526,95.75,58.8,48.63,348,7674,96,32.46,29,198507,2,165.21,16159431.78,1091371.128,10885392.3,27,2853,338,17 687 081,"1,898.95",1
